participant_id,task_type,item,case_type,attempt_number,query_mode,dtw_distance,smoothness_score,accuracy_score,direction_score,pause_count,avg_speed,speed_cv,duration_ms,stroke_count,total_distance,motor_score,score_version
RS03,shape,vertical_line,,1,initial_assessment,,98,98,100,0,0.04056932642105467,1.0623227399864803,7678,1,311.4912882608578,97,v1
RS03,shape,half_circle,,1,initial_assessment,,94,91,100,0,0.4457423416947482,0.980718197089132,1108,,493.882514597781,95,v1
RS03,shape,vertical_line,,1,initial_assessment,,94,96,100,0,0.33927917764636645,0.5917983742478906,902,,306.02981823702254,97,v1
RS03,shape,vertical_line,,1,initial_assessment,,92,9,100,0,0.8418561087697132,1.142920206921842,243,1,204.5710344310403,59,v1
RS03,shape,full_circle,,1,initial_assessment,,93,0,100,0,0.6359299508764306,0.9562961509112895,236,1,150.0794684068376,61,v1
RS03,shape,half_circle,,1,initial_assessment,,91,50,100,0,0.4094421329215048,0.5375853870198576,1092,,447.1108091502832,80,v1
RS03,shape,zigzag,,1,initial_assessment,23.62351792613771,85,,100,0,0.41784505011177175,0.609820332415024,1091,,455.86894967194297,78,v1
RS03,shape,half_circle,,1,initial_assessment,,95,0,100,0,0.8125391608150132,1.7791091152479102,264,1,214.5103384551635,57,v1
RS03,shape,curve_wave,,1,initial_assessment,7.928561573124055,89,,100,0,0.47555606219789726,0.44909243361751383,856,,407.07598924140007,91,v1
RS03,shape,full_circle,,1,initial_assessment,,89,49,100,0,0.5544353825563394,0.5236151473295126,1117,,619.3043223154311,78,v1
RS03,shape,zigzag,,1,initial_assessment,7.373570207802931,93,,100,0,0.8276596536711643,0.7974813645059682,274,1,226.77874510589902,86,v1
RS03,shape,curve_wave,,1,initial_assessment,6.066881609858255,78,,80,0,0.85049264899721,0.9895159426318522,291,1,247.4933608581881,80,v1
RS03,shape,full_circle,,1,initial_assessment,,82,94,100,0,0.05887970208552778,0.8250611876035235,13162,1,774.9746388497166,93,v1
RS03,shape,curve_wave,,1,initial_assessment,9.539316187097144,88,,100,0,0.34825858261321685,0.4900827669930794,1300,,452.7361573971819,90,v1
RS03,shape,curve_wave,,1,initial_assessment,23.41536323918314,86,,95,0,5.484781927110296,1.4163873340528572,404,4,2215.8518985525598,68,v1
RS03,shape,vertical_line,,1,initial_assessment,,93,96,100,0,0.5548160713778674,0.7704890710743715,540,1,299.6006785440484,96,v1
RS03,shape,half_circle,,1,initial_assessment,,84,95,100,0,0.06881721512097294,0.8922442529555163,7166,1,493.14416355689207,94,v1
RS01,shape,horizontal_line,,1,initial_assessment,,99,86,100,0,0.33624162564218574,0.7754000543053323,1165,4,391.7214938731464,95,v1
RS06,shape,horizontal_line,,1,initial_assessment,,85,98,98,0,0.0854437617197467,1.1123341557455189,4904,4,419.0162074736378,95,v1
RS01,shape,vertical_line,,1,initial_assessment,,90,77,100,0,0.10936012600421083,0.8746745608403854,2676,1,292.6476971872682,89,v1
RS06,shape,full_circle,,1,initial_assessment,,85,97,98,0,0.05035348293908128,0.8206953215318503,15521,1,781.5364086974806,95,v1
RS03,shape,full_circle,,1,initial_assessment,,84,32,100,0,0.712083817586395,0.3882166278460634,715,1,509.13992957427246,68,v1
RS03,shape,zigzag,,1,initial_assessment,35.757317870215005,84,,100,0,0.5970060941099699,1.2868663264740923,574,1,342.6814980191227,73,v1
RS01,shape,full_circle,,1,initial_assessment,,92,73,100,0,0.1731265453926879,0.6318512632494856,3764,1,651.6483168580772,89,v1
RS01,shape,half_circle,,1,initial_assessment,,91,64,100,0,0.14803665301946145,0.8059640642884908,2748,1,406.8047224974801,85,v1
RS05,shape,curve_wave,,1,initial_assessment,4.113497987078528,85,,96,0,0.14774216875221888,0.9788057358247365,2965,1,438.055530350329,93,v1
RS01,shape,zigzag,,1,initial_assessment,10.503831137681964,84,,97,0,1.516943859611915,6.950011163324454,876,2,1328.8428210200375,78,v1
RS07,shape,vertical_line,,1,initial_assessment,,85,89,100,0,0.08765836104248825,0.7827567499154314,3862,1,338.5365903460896,92,v1
RS03,shape,horizontal_line,,1,initial_assessment,,98,89,100,0,0.9637199325058677,0.703736180626644,405,,390.30657266487646,86,v1
RS07,shape,curve_wave,,1,initial_assessment,8.177637794690337,88,,99,0,0.13129258641168326,0.8454985030965282,4519,2,593.3111979943966,91,v1
RS01,shape,curve_wave,,1,initial_assessment,3.525784685224114,94,,100,0,0.2008821227180411,0.7273944306081621,1866,1,374.8460409918647,96,v1
RS03,shape,full_circle,,1,initial_assessment,,93,96,100,0,0.38079793882859064,0.5856795117542452,2044,1,778.3509869656393,97,v1
RS03,shape,vertical_line,,1,initial_assessment,,98,52,100,0,0.49830189239380396,2.8523465174669935,606,,301.9709467906452,83,v1
RS03,shape,curve_wave,,1,initial_assessment,,92,100,100,0,0.47749389797987335,0.6571565381048824,683,,326.1283323202535,98,v1
RS03,shape,zigzag,,1,initial_assessment,,87,100,100,0,0.38242437763023907,0.8002940361842489,1253,,479.17774517068955,97,v1
RS04,shape,horizontal_line,,1,initial_assessment,,91,62,100,0,0.10960778099599179,0.6703724897422503,3793,1,415.74231331779686,84,v1
RS04,shape,vertical_line,,1,initial_assessment,,93,84,100,0,0.08557783655503061,0.8907083674619846,3548,1,303.6301640972486,93,v1
RS03,shape,zigzag,,1,initial_assessment,,87,100,100,0,0.5011178555204701,0.853086130170061,1077,,539.7039303955463,97,v1
RS03,shape,horizontal_line,,1,initial_assessment,,93,48,100,0,0.558175031632947,0.646404683409929,735,,410.2586482502161,79,v1
RS03,shape,full_circle,,1,initial_assessment,,89,83,100,0,0.8057095494219692,0.4385391017826111,961,,774.2868769945123,85,v1
RS04,shape,full_circle,,1,initial_assessment,,91,82,100,0,0.2133953158685444,0.8080712548612329,3287,1,701.4304032599055,91,v1
RS04,shape,half_circle,,1,initial_assessment,,83,49,100,0,0.10692423710509037,0.5304907807640525,3553,1,379.9018144343861,78,v1
RS03,shape,horizontal_line,,1,initial_assessment,,99,88,100,0,0.3207695212397908,0.8488843089712255,1246,,399.6788234647793,96,v1
RS03,shape,half_circle,,1,initial_assessment,,91,0,100,0,0.46863608436112286,0.5290419350713297,658,,308.36254350961883,63,v1
RS03,shape,horizontal_line,,1,initial_assessment,,92,92,100,0,0.6998595232161182,0.7127154022509854,564,1,394.7207710938907,91,v1
RS04,shape,zigzag,,1,initial_assessment,2.651907117447554,80,,100,0,0.11635968293847708,0.6757355073687384,4133,1,480.91456958472577,93,v1
RS04,shape,curve_wave,,1,initial_assessment,3.405819325869138,88,,100,0,0.1377469105281161,0.8644437262552944,2740,1,377.4265348470381,94,v1
RS03,shape,horizontal_line,,1,initial_assessment,,85,0,100,0,0.47106290616018254,2.063197640298484,324,1,152.62438159589914,61,v1
RS03,shape,vertical_line,,1,initial_assessment,,85,0,100,0,0.5163818422086405,0.6276038180928952,281,1,145.10329766062796,61,v1
RS03,shape,zigzag,,1,initial_assessment,8.85537171558601,85,,100,0,0.32136667347234804,0.8182196105131475,1632,1,524.470411106872,91,v1
RS01,shape,half_circle,,1,initial_assessment,,82,88,97,0,0.09143120991946639,1.0308964789264612,5888,2,538.3469640058181,91,v1
RS01,shape,zigzag,,1,initial_assessment,2.099930976572693,83,,98,0,0.08662914902806956,1.061789940015252,7143,1,618.7920115075009,94,v1
RS01,shape,curve_wave,,1,initial_assessment,2.739050776953987,88,,99,0,0.09016506652499152,0.9567629433651329,5116,1,461.28448034185664,95,v1
RS03,shape,horizontal_line,,1,initial_assessment,,86,94,86,0,0.79632934293047,0.8059725933331396,375,1,298.6235035989262,86,v1
RS07,shape,horizontal_line,,1,initial_assessment,,99,0,100,0,0.37819501981267184,0.9071090462632057,229,1,86.60665953710185,65,v1
RS07,shape,vertical_line,,1,initial_assessment,,82,0,100,0,0.4511377325374716,0.6206887514993442,270,1,121.80718778511732,61,v1
RS07,shape,full_circle,,1,initial_assessment,,93,89,100,0,0.4431981075098936,0.8817341927963982,1796,1,795.9838010877688,94,v1
RS07,shape,half_circle,,1,initial_assessment,,93,93,100,0,0.3458568241297169,1.3530830504094693,1374,1,475.20727635423106,96,v1
RS03,shape,curve_wave,,1,initial_assessment,2.8703714942773857,85,,97,0,1.2740600452374904,1.3182495730098924,452,3,575.8751404473456,84,v1
RS07,shape,zigzag,,1,initial_assessment,1.7226126082205304,86,,100,0,0.3289584238974106,0.608419447590103,1666,1,548.044734213086,95,v1
RS02,shape,zigzag,,1,initial_assessment,2.9076586261189115,86,,97,0,0.2159902969426826,0.9374697682774218,3354,2,724.4314559457574,94,v1
RS03,shape,horizontal_line,,1,initial_assessment,,95,96,100,0,0.05480394312588404,0.5800230806798347,7834,1,429.3340904481756,97,v1
RS07,shape,curve_wave,,1,initial_assessment,1.2035656643539574,91,,100,0,0.28834504446284,1.3925133445760116,1400,1,403.68306224797595,97,v1
RS04,shape,curve_wave,,1,initial_assessment,1.9016776226973962,85,,100,0,0.21865599017979845,0.8333055151297529,1935,1,423.09934099791,95,v1
RS06,shape,zigzag,,1,initial_assessment,1.3605752277322845,81,,98,0,0.06941575424139818,0.6883457614155151,9198,1,638.4861075123804,94,v1
RS07,shape,half_circle,,1,initial_assessment,,80,90,93,0,0.11088845002457112,0.829543080331824,4736,2,525.1676993163688,90,v1
RS05,shape,horizontal_line,,1,initial_assessment,,88,85,100,0,0.126384623162567,0.7101376246354776,5060,1,639.506193202589,92,v1
RS05,shape,zigzag,,1,initial_assessment,3.4874717551490146,84,,98,0,0.17015440410113494,0.6601763411082175,3817,2,649.4793604540321,93,v1
RS07,shape,full_circle,,1,initial_assessment,,90,87,100,0,0.10837402163153191,0.9510754352505268,7448,1,807.1697131116497,93,v1
RS01,shape,horizontal_line,,1,initial_assessment,,85,94,99,0,0.09194899679564546,0.877944847523107,4508,3,414.5060775547697,94,v1
RS01,shape,vertical_line,,1,initial_assessment,,90,96,100,0,0.07325409767525437,0.5964478929795546,4221,1,309.2055462872487,96,v1
RS01,shape,full_circle,,1,initial_assessment,,82,89,96,0,0.4375026279928463,0.8173368940654424,2186,5,956.380744792362,91,v1
RS03,shape,vertical_line,,1,initial_assessment,,88,0,100,0,1.5061107367793423,0.5196895845879549,178,1,268.08771114672294,52,v1
RS03,shape,zigzag,,1,initial_assessment,10.07080485276852,92,,100,0,1.0243279171013833,0.5735026000762695,325,1,332.9065730579496,80,v1
RS03,shape,curve_wave,,1,initial_assessment,2.664308157457358,86,,100,0,0.9741831626445374,0.43977512493402315,410,1,399.41509668426033,85,v1
RS03,shape,zigzag,,1,initial_assessment,5.091642706953555,82,,100,0,0.7183106818911271,0.5096805598990396,483,1,346.9440593534144,87,v1
RS03,shape,curve_wave,,1,initial_assessment,5.2591331083614055,91,,100,0,1.066966759665247,0.9377882537242557,264,1,281.6792245516252,84,v1
RS02,shape,horizontal_line,,1,initial_assessment,,93,98,100,0,0.15148680160272612,0.9798020254219948,2614,1,395.9864993895261,98,v1
RS02,shape,full_circle,,1,initial_assessment,,93,95,100,0,0.16164809929823154,0.6786368798773446,4547,1,735.0139075090588,97,v1
RS02,shape,half_circle,,1,initial_assessment,,89,90,100,0,0.1409362501659132,0.527520260132593,3422,2,482.28384806775506,94,v1
RS03,shape,zigzag,,1,initial_assessment,1.7205023236552024,83,,100,0,0.10707656391394656,1.1119704423660326,5893,1,631.0021911448871,94,v1
RS04,shape,vertical_line,,1,initial_assessment,,90,96,96,0,0.19246253814742942,0.9784403713694529,1500,1,288.69380722114414,96,v1
RS04,shape,full_circle,,1,initial_assessment,,89,85,98,0,0.2924378922287279,0.7478577997566213,2353,1,688.1063604141967,92,v1
RS04,shape,half_circle,,1,initial_assessment,,89,98,100,0,0.15858754811080697,1.0013143338329442,3029,1,480.3616832276343,97,v1
RS04,shape,zigzag,,1,initial_assessment,1.8266313694744767,83,,96,0,0.18177479450906966,1.1672789847100702,3335,1,606.2189396877474,94,v1
RS06,shape,vertical_line,,1,initial_assessment,,84,98,98,0,0.3673075126025983,0.658719652560768,842,3,309.2729256113878,95,v1
RS06,shape,half_circle,,1,initial_assessment,,80,98,98,0,0.05051419865894376,1.8657115082333742,16000,2,808.2271785431001,94,v1
RS06,shape,curve_wave,,1,initial_assessment,1.2156316833151306,85,,98,0,0.05161311864369375,1.0387141893945417,8059,1,415.95012314952794,95,v1
RS07,shape,horizontal_line,,1,initial_assessment,,87,85,100,0,0.11333100992080886,1.1844693842331449,5010,1,567.7883597032524,92,v1
RS05,shape,vertical_line,,1,initial_assessment,,88,98,94,0,0.13709997433685028,1.0924894773236538,1957,1,268.304649777216,95,v1
RS05,shape,full_circle,,1,initial_assessment,,91,90,100,0,0.16714530029172697,0.5228983436211001,4503,1,752.6552872136466,94,v1
RS05,shape,half_circle,,1,initial_assessment,,82,89,94,0,0.23236079057444126,0.7124409061088864,2119,1,492.372515227241,91,v1
RS07,shape,zigzag,,1,initial_assessment,3.3202843830384077,87,,100,0,0.09431395853413103,0.755723892424042,7306,1,689.0577810503613,94,v1
RS02,shape,horizontal_line,,1,initial_assessment,2.3592673931625434,97,88,100,0,0.3958711385709527,0.7075249483747486,967,1,382.80739099811126,95,v1
RS02,shape,vertical_line,,1,initial_assessment,4.67063393997925,93,64,100,0,0.3993274354924621,0.8119345327015762,810,4,323.4552227488943,86,v1
RS02,shape,full_circle,,1,initial_assessment,25.1896316908783,89,32,100,0,0.21334997417961232,0.7464392843604225,1732,1,369.52215527908857,73,v1
RS02,shape,half_circle,,1,initial_assessment,15.480200708362753,95,0,100,0,0.21501994367753094,0.5579513755382366,1170,1,251.57333410271121,64,v1
RS02,shape,zigzag,,1,initial_assessment,5.93587158243373,93,,100,0,0.22845419011446413,0.8479512749695649,1608,1,367.3543377040583,94,v1
RS02,shape,curve_wave,,1,initial_assessment,5.552701832841139,94,,100,0,0.246051853980302,0.6908355369650034,1570,1,386.30141074907414,94,v1
